State,City,ZIP code,Total College-Educated Millennials,Millennial Percentage,,,,,,,,,,,,,
IL,Chicago,60657,"24,173",39%,,,,,,,,,,,,,
IL,Chicago,60614,"18,548",32%,,,,,,,,,,,,,
NJ,Hoboken,07030,"17,777",41%,,,,,,,,,,,,,
NY,New York,10016,"16,553",34%,,,,,,,,,,,,,
DC,Washington,20009,"15,460",36%,,,,,,,,,,,,,
IL,Chicago,60647,"14,982",22%,,,,,,,,,,,,,
IL,Chicago,60622,"14,735",33%,,,,,,,,,,,,,
NY,Brooklyn,11215,"14,631",27%,,,,,,,,,,,,,
IL,Chicago,60613,"14,478",33%,,,,,,,,,,,,,
NY,Brooklyn,11211,"14,099",21%,,,,,,,,,,,,,
NY,New York,10003,"14,081",27%,,,,,,,,,,,,,
CA,San Francisco,94109,"13,149",26%,,,,,,,,,,,,,
VA,Arlington,22201,"12,847",44%,,,,,,,,,,,,,
NY,New York,10128,"12,771",25%,,,,,,,,,,,,,
CA,Los Angeles,90034,"12,643",26%,,,,,,,,,,,,,
IL,Chicago,60640,"12,205",21%,,,,,,,,,,,,,
NY,New York,10009,"11,540",21%,,,,,,,,,,,,,
NJ,Jersey City,07302,"11,290",36%,,,,,,,,,,,,,
CA,San Francisco,94117,"11,277",30%,,,,,,,,,,,,,
CA,San Diego,92109,"11,265",28%,,,,,,,,,,,,,
NY,New York,10011,"11,178",24%,,,,,,,,,,,,,
NY,Brooklyn,11201,"11,148",25%,,,,,,,,,,,,,
WA,Seattle,98103,"10,578",27%,,,,,,,,,,,,,
CA,Los Angeles,90025,"10,548",28%,,,,,,,,,,,,,
NY,New York,10019,"10,495",28%,,,,,,,,,,,,,
NY,Brooklyn,11238,"10,350",24%,,,,,,,,,,,,,
CA,San Francisco,94122,"10,159",20%,,,,,,,,,,,,,
NY,New York,10024,"9,952",20%,,,,,,,,,,,,,
CA,Los Angeles,90046,"9,894",21%,,,,,,,,,,,,,
IL,Chicago,60610,"9,578",28%,,,,,,,,,,,,,
MA,Cambridge,02139,"9,424",30%,,,,,,,,,,,,,
MA,Brighton,02135,"9,360",26%,,,,,,,,,,,,,
NY,Brooklyn,11222,"9,107",30%,,,,,,,,,,,,,
NY,New York,10028,"9,024",23%,,,,,,,,,,,,,
CA,San Diego,92122,"8,994",22%,,,,,,,,,,,,,
NY,New York,10021,"8,903",24%,,,,,,,,,,,,,
NC,Durham,27713,"8,835",24%,,,,,,,,,,,,,
NY,New York,10014,"8,596",30%,,,,,,,,,,,,,
